City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
BELAGAVI,29010804002,2015-16,KANNADA HIGHER PRIMARY SCHOOL CHAPAGAON,KHANAPUR,CHAPGAON,CHAPAGAON,Karnataka,591120,,,,ChIJu44-XyphvzsRrG9eqYhO5g0,C,City,belagavi,Bapuji Kannada Higher Primary school,"Reveave Colony Kanbargi Road, Belagavi, Karnataka 590017, India"
TUMAKURU MADHUGIRI,29310418403,2015-16,GOVT LOWER PRIMARY SCHOOL THIMMALAPURA GOLLARAHATTY,MADHUGIRI,PURAVARA,THIMMALAPURA,Karnataka,572175,,,,ChIJdYy7vvEtsDsRNXQuXc5ivtw,B,Locality,madhugiri,"Government First Grade College, Madhugiri","Pavagada Road, Behind Government High School, Madhugiri, Tumakuru, Karnataka 572132, India"
TUMAKURU MADHUGIRI,29310414601,2015-16,GOVT LOWER PRIMARY SCHOOL RANGANAPALYA,MADHUGIRI,KAVANADALA,RANGANAPALYA,Karnataka,572112,,,,ChIJdYy7vvEtsDsRNXQuXc5ivtw,B,Locality,madhugiri,"Government First Grade College, Madhugiri","Pavagada Road, Behind Government High School, Madhugiri, Tumakuru, Karnataka 572132, India"
TUMAKURU MADHUGIRI,29310411903,2015-16,GOVT LOWER PRIMARY SCHOOL VIRUPAGONDANAHALLI,MADHUGIRI,RANTAVALALU,KOTAGARLAHALLI,Karnataka,572132,,,,ChIJdYy7vvEtsDsRNXQuXc5ivtw,B,Locality,madhugiri,"Government First Grade College, Madhugiri","Pavagada Road, Behind Government High School, Madhugiri, Tumakuru, Karnataka 572132, India"
TUMAKURU MADHUGIRI,29310314901,2015-16,GOVT HIGHER PRIMARY SCHOOL MAVATHUR GOLLAHALLI ,KORATAGERE,CHINNAHALLI,M.GOLLAHALLI,Karnataka,572129,,,,,,,,,
TUMAKURU MADHUGIRI,29310606901,2015-16,GOVT HIGHER PRIMARY SCHOOL KURUBARAHALLI,SIRA,BUKKAPATTANA,KURUBARAHALLI(KURUBARAHALLI),Karnataka,572115,,,,,,,,,
TUMAKURU MADHUGIRI,29310615410,2015-16,GOVT LOWER PRIMARY SCHOOL KALAJJI HATTI,SIRA,HALDODDERI,HUNJUNAALU,Karnataka,572128,,,,,,,,,
TUMAKURU MADHUGIRI,29310611302,2015-16,GOVT HIGHER PRIMARY SCHOOL KALLAMBELLA-NH4,SIRA,KALLAMBELLA,KALLAMBELLA,Karnataka,572125,,,,,,,,,
TUMAKURU MADHUGIRI,29310611303,2015-16,GOVT LOWER PRIMARY SCHOOL LAKKANAHALLI,SIRA,BENCHE,KALLAMBELLA,Karnataka,572125,,,,,,,,,
BELAGAVI,29011102903,2015-16,SHREE VEERABHADRESHWAR HIGHSCHOOL (AIDED) GODACHI,RAMDURG,K.CHANDARGI,GODACHI,Karnataka,591114,,,,ChIJsyabDKFmvzsRSe_5enelYqc,C,City,belagavi,St. Paul's High School,"E W Fernandes Road, Belagavi, Karnataka 590009, India"
BELAGAVI,29010813706,2015-16,KANNADA HIGHER PRIMARY SCHOOL LONDA,KHANAPUR,LONDA,LONDA,Karnataka,591301,,,,ChIJu44-XyphvzsRrG9eqYhO5g0,C,City,belagavi,Bapuji Kannada Higher Primary school,"Reveave Colony Kanbargi Road, Belagavi, Karnataka 590017, India"
BELAGAVI,29011214802,2015-16,KANNADA LOWER PRIMARY SCHOOL KANAKADAS SOUNDATTI,SOUNDATTI,SOUNDATTI SOUTH,WARD NO 12,Karnataka,591126,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29010812401,2015-16,MARATHI LOWER PRIMARY SCHOOL KOUNDAL,KHANAPUR,HONAKAL,KOUNDAL,Karnataka,591302,,,,ChIJ3doRlYpjvzsRwXgILOizTNo,C,City,belagavi,Marathi Primary School Play Ground,"Ganeshpur, Belagavi, Karnataka 591108, India"
TUMAKURU MADHUGIRI,29310425012,2015-16,SARVODAYA PRE UNIVERSITY COLLEGE KODIGENAHALLI,MADHUGIRI,KODIGENAHALLY,KODIGENAHALLI,Karnataka,572132,,,,,,,,,
TUMAKURU MADHUGIRI,29310423302,2015-16,VIVEKANANDA RURAL AIDED HIGH SCHOOL POLENAHALLI,MADHUGIRI,SINGANAHALLY,POLENAHALLI,Karnataka,572127,,,,,,,,,
TUMAKURU MADHUGIRI,29310423401,2015-16,GOVT HIGHER PRIMARY SCHOOL MASARAPADI,MADHUGIRI,SINGANAHALLY,MASARAPADI,Karnataka,572127,,,,ChIJdYy7vvEtsDsRNXQuXc5ivtw,B,Locality,madhugiri,"Government First Grade College, Madhugiri","Pavagada Road, Behind Government High School, Madhugiri, Tumakuru, Karnataka 572132, India"
TUMAKURU MADHUGIRI,29310423501,2015-16,GOVT HIGHER PRIMARY SCHOOL ADAVINAGENAHALLI,MADHUGIRI,SINGANAHALLY,ADAVINAGENAHALLI,Karnataka,572127,,,,ChIJdYy7vvEtsDsRNXQuXc5ivtw,B,Locality,madhugiri,"Government First Grade College, Madhugiri","Pavagada Road, Behind Government High School, Madhugiri, Tumakuru, Karnataka 572132, India"
BELAGAVI,29011213706,2015-16,INDIRA PRIYA DARSHINI HIGHSCHOOL (AIDED) URDU SOUNDATTI,SOUNDATTI,SOUNDATTI NORTH,WARD NO 1,Karnataka,591126,,,,ChIJsyabDKFmvzsRSe_5enelYqc,C,City,belagavi,St. Paul's High School,"E W Fernandes Road, Belagavi, Karnataka 590009, India"
BELAGAVI,29011215001,2015-16,SHARADA HIGHSCHOOL (AIDED) SOUNDATTI,SOUNDATTI,GURLA HOSUR,WARD NO 14,Karnataka,591126,,,,,,,,,
