City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
AHMADNAGAR,27260112703,2015-16,MV PIMPALGAON NIPANI,AKOLE,GANORE,PIMPALGAON NIPANI,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260405602,2015-16,Z.P.P.SCHOOL AMBERAI,KARJAT,KHED,KHED,Maharashtra,414403,,,,,,,,,
AHMADNAGAR,27260405603,2015-16,"LOKNAYAK JAYPRAKASH NARAYAN VIDYALAYA, KHED",KARJAT,KHED,KHED,Maharashtra,414403,,,,,,,,,
AHMADNAGAR,27260116506,2015-16,Z.P.P.SCHOOLTRISHULWADI,AKOLE,JAMBHALEWADI,SATEWADI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116601,2015-16,Z.P.P.SCHOOL SHEREWADI,AKOLE,PIMPALGAON KHAND,SHEREWADI,Maharashtra,422610,,,,,,,,,
AHMADNAGAR,27260116701,2015-16,Z.P.P.SCHOOL SHERANKHEL,AKOLE,PIMPALGAON NAKVINDA,SHERNKHEL,Maharashtra,422601,,,,,,,,,
AHMADNAGAR,27260116801,2015-16,Z.P.P.SCHOOL SAVARKUTE,AKOLE,SAVARKUTE,SAVARKUTE,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260114009,2015-16,PRAJAKTA DAIMAND ENG RAJUR,AKOLE,RAJUR,RAJUR,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260114010,2015-16,GOVT ENG ASHRAMSHAL RAJUR,AKOLE,RAJUR,RAJUR,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260114012,2015-16,ASHRAM SHALA SHERANKHEL (RAJUR),AKOLE,RAJUR,RAJUR,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260116802,2015-16,Z.P.P.SCHOOL MALWADI,AKOLE,SAVARKUTE,SAVARKUTE,Maharashtra,422604,,,,,,,,,
AHMADNAGAR,27260200302,2015-16,Z.P.P.SCHOOL PHAKRABAD,JAMKHED,ARANGAON,PHAKRABAD,Maharashtra,413205,,,,,,,,,
AHMADNAGAR,27260200303,2015-16,Z.P.P.SCHOOL  ZOPADPATTI,JAMKHED,ARANGAON,PHAKRABAD,Maharashtra,413205,,,,,,,,,
AHMADNAGAR,27260300901,2015-16,Z.P.P.SCHOOL DERDE CHANDVAD,KOPARGAON,POHEGAON,DERDE CHANDVAD,Maharashtra,423601,,,,,,,,,
AHMADNAGAR,27260300902,2015-16,NEW ENG SCHOOL DERDE CHANDVAD,KOPARGAON,POHEGAON,DERDE CHANDVAD,Maharashtra,423601,,,,ChIJEbqHiZHc3DsRn_iKBGFCjlo,B,Locality,kopargaon,New English School,"Takali Dhokeshwar, Ahmadnagar, SH-50, Pune Nashik Highway, Kopargaon, Kopargaon, Maharashtra 414304, India"
AHMADNAGAR,27260301001,2015-16,Z.P.P.SCHOOL MADHI KH.,KOPARGAON,POHEGAON,MADHI KHURD,Maharashtra,423601,,,,,,,,,
GONDIYA,27110808401,2015-16,Z.P.UPPER PRIMARY SCHOOL BIRSI,TIRODA,GULABTOLA,BIRSI,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110808402,2015-16,S. N. ENGLISH PRIMARY  SCHOOL BIRSI,TIRODA,GULABTOLA,BIRSI,Maharashtra,441911,,,,ChIJK1LI_f8PKzoRpPqdX9PX-UQ,A,VILLAGE_NAME,birsi,S N Primary English School,"Birsi, Gondiya, SH-249, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
GONDIYA,27110808501,2015-16,Z.P. PRIMARY SCHOOL BOPESAR,TIRODA,GULABTOLA,BOPESAR,Maharashtra,441911,,,,ChIJ5dNbAmADKzoRgCPR5d4zqWU,B,Locality,tiroda,Z P Primary School,"Paldongri, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
GONDIYA,27110808601,2015-16,Z.P.UPPER PRIMARY SCHOOL  MALPURI,TIRODA,GULABTOLA,MALPURI,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110808701,2015-16,Z.P.UPPER PRIMARY SCHOOL SATONA,TIRODA,GULABTOLA,SATONA,Maharashtra,441919,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110808801,2015-16,Z.P.UPPER PRIMARY SCHOOL DHADRI,TIRODA,GULABTOLA,DHADRI,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110808901,2015-16,Z.P.PRIMARY SCHOOL UMRI,TIRODA,GULABTOLA,UMRI,Maharashtra,441911,,,,ChIJ5dNbAmADKzoRgCPR5d4zqWU,B,Locality,tiroda,Z P Primary School,"Paldongri, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
GONDIYA,27110809001,2015-16,Z.P. PRIMARY SCHOOL ISAPUR,TIRODA,GULABTOLA,ISAPUR,Maharashtra,441911,,,,ChIJ5dNbAmADKzoRgCPR5d4zqWU,B,Locality,tiroda,Z P Primary School,"Paldongri, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
GONDIYA,27110809101,2015-16,Z.P. PRIMARY SCHOOL KHODGAON,TIRODA,GULABTOLA,KHODGAON,Maharashtra,441911,,,,ChIJ5dNbAmADKzoRgCPR5d4zqWU,B,Locality,tiroda,Z P Primary School,"Paldongri, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
GONDIYA,27110809201,2015-16,Z.P. PRIMARY SCHOOL NAVARGAON,TIRODA,GULABTOLA,NAVARGAON,Maharashtra,441923,,,,ChIJ5dNbAmADKzoRgCPR5d4zqWU,B,Locality,tiroda,Z P Primary School,"Paldongri, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
AHMADNAGAR,27260105105,2015-16,Z.P.P. SCHOOL DHAMBODIPHATA,AKOLE,GANORE,GANORE,Maharashtra,422605,,,,,,,,,
GONDIYA,27110803001,2015-16,JAGRUTI UPPER PRIMARY SCHOOL BHURATOLA,TIRODA,KARTI BU.,BHURATOLA,Maharashtra,441911,,,,,,,,,
GONDIYA,27110803101,2015-16,Z.P.UPPER. PRIMARY.SCHOOL BIHIRIYA,TIRODA,KARTI BU.,BIHIRIYA,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110813401,2015-16,Z.P. UPPER PRIMARY SCHOOLSITEPAR,TIRODA,GANGLA,SITEPAR,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110813501,2015-16,Z.P. UPPER PRIMARY SCHOOL KOYLARI,TIRODA,GANGLA,KOYLARI,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110813502,2015-16,SASHKIY M ASHRAM SCHOOL KOYLARI,TIRODA,GANGLA,KOYLARI,Maharashtra,441911,,,,,,,,,
GONDIYA,27110813601,2015-16,Z.P. PRIMARY SCHOOL NANDALPAR,TIRODA,GANGLA,NANDALPAR,Maharashtra,441911,,,,ChIJ5dNbAmADKzoRgCPR5d4zqWU,B,Locality,tiroda,Z P Primary School,"Paldongri, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
GONDIYA,27110803102,2015-16,SHRI SANT GHYANESWAR SCH BIHIRIYA,TIRODA,KARTI BU.,BIHIRIYA,Maharashtra,441911,,,,,,,,,
GONDIYA,27110803201,2015-16,Z.P.UPPER PRIMARY SCHOOL INDORA BU.,TIRODA,KARTI BU.,INDORA BU.,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110803301,2015-16,Z.P.UPPER. PRIMARY.SCHOOL DABBETOLA,TIRODA,KARTI BU.,DABBETOLA,Maharashtra,441614,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
GONDIYA,27110814101,2015-16,Z.P. PRIMARY SCHOOL KULPA,TIRODA,GANGLA,KULPA,Maharashtra,441911,,,,ChIJ5dNbAmADKzoRgCPR5d4zqWU,B,Locality,tiroda,Z P Primary School,"Paldongri, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tirora, Maharashtra 441911, India"
GONDIYA,27110814201,2015-16,Z.P.UPPER PRIMARY SCHOOL BELATIKHURD,TIRODA,KAWLEWADA,TIRORA,Maharashtra,441911,,,,ChIJA7rgdEIDKzoR3g_wod6aZJk,B,Locality,tiroda,Z P Upper Primary School,"Karati, Gondiya, SH-251, Tumsar Gondia Road, Tiroda, Tiroda, Maharashtra 441911, India"
