City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,h_place_id,h_name,h_category,h_col,h_word
UDAIPUR,8260817608,2015-16,G.P.S.UPLA PALIYA,KHERWARA,G.U.P.S.(PALIYA),LARATHI,Rajasthan,313803,,,,,,,
CHURU,8040700108,2015-16,GPS MEGH.BASTI CHARWAS,BIDASAR,GGUPS CHADWAS,CHADWAS,Rajasthan,331503,,,,,,,
CHURU,8040700110,2015-16,VIDYASATHALI SS CHARWAS,BIDASAR,GGUPS CHADWAS,CHADWAS,Rajasthan,331503,,,,,,,
CHURU,8040700201,2015-16,GSS ,BIDASAR,GUPS RUPELI ,BALERA,Rajasthan,331503,,,,,,,
CHURU,8040700301,2015-16,GUPS ,BIDASAR,GUPS RUPELI ,HEMASAR ATHUNA,Rajasthan,331503,,ChIJQ_uzsjnUajkRI1COeCesKJE,,,,,
GANGANAGAR,8010712601,2015-16,GOVT UPPER PRIMARY SCH 38 PS A,RAISINGHNAGAR,GUPS 38 PS A,38PSA,Rajasthan,335051,,,,,,,
GANGANAGAR,8010795607,2015-16,PVT DIVINE LIGHT PUBLIC SCHOOL,RAISINGHNAGAR,GUPS COMPULSARY RSNR,NP RAISINGHNAGAR_WORD 4,Rajasthan,335051,,,,,,,
GANGANAGAR,8010797202,2015-16,GOVT UPPER PRIMARY SCH (BALMUKAND) RSNR.,RAISINGHNAGAR,"GOVT.UPPER.PRIMARY.SCH, RSNR(BM)",NP RAISINGHNAGAR_WORD 20,Rajasthan,335051,,,,,,,
GANGANAGAR,8010797104,2015-16,PVT MODERN PUBLIC SCHOOL RSNR,RAISINGHNAGAR,"GOVT.UPPER.PRIMARY.SCH, RSNR(BM)",NP RAISINGHNAGAR_WORD 19,Rajasthan,335051,,,,,,,
UDAIPUR,8260209901,2015-16,G.U.P.S.,BADGAON,G.U.P.S.(AMRA JI KA GUDA),PIPAD,Rajasthan,313011,,ChIJ8WDLXzn6azkRyQ3rD2XQxS0,,,,,
UDAIPUR,8260314909,2015-16,G.U.P.S.SANSKRIT ,MAVLI,G.G.U.P.S.(GUDALI),CHANDESHRA,Rajasthan,313201,,,,,,,
UDAIPUR,8260200107,2015-16,NAVDEEP UPPER PRIMARY SCHOOL,BADGAON,G.U.P.S.(BRAHMNO KI HUNDER),MADAR,Rajasthan,313001,,,,,,,
UDAIPUR,8260204701,2015-16,G.P.S.,BADGAON,G.U.P.S.(MOTA BHILWARA),PARAYA KI BHAGAL,Rajasthan,313202,,,,,,,
CHURU,8040408202,2015-16,GSSS SAHANALI CHHOTI,CHURU,"SAHNALI CHHOTI,GUPS SAHANALI BA",SAHANALI CHHOTTI,Rajasthan,331022,,,,,,,
CHURU,8040408204,2015-16,LITTLE FLOWER UPS SAHNALI CHHOTI,CHURU,"SAHNALI CHHOTI,GUPS SAHANALI BA",SAHANALI CHHOTTI,Rajasthan,331001,,,,,,,
CHURU,8040408301,2015-16,GUPS ,CHURU,"SAHNALI CHHOTI,GUPS SAHANALI BA",SAHANALI BADI,Rajasthan,331022,,ChIJQ_uzsjnUajkRI1COeCesKJE,,,,,
CHURU,8040408303,2015-16,RAJESH GRAMIN PUB SAHNALI BADI,CHURU,"SAHNALI CHHOTI,GUPS SAHANALI BA",SAHANALI BADI,Rajasthan,331022,,,,,,,
GANGANAGAR,8010712801,2015-16,GOVT UPPER PRIMARY SCH ,RAISINGHNAGAR,GPS 42 PS ,39 PS,Rajasthan,335021,,,,,,,
GANGANAGAR,8010951401,2015-16,GOVT.PRIMARY SCH. ,ANOOPGARH,GPS 7 A,7 A,Rajasthan,335703,,,,,,,
GANGANAGAR,8010951505,2015-16,GOVT.PRIMARY SCH. ,ANOOPGARH,GPS 62 GB A,62 GB,Rajasthan,335701,,,,,,,
GANGANAGAR,8010648601,2015-16,"GOVT.UPPER PRIMARY SCH.,13KD",GHARASANA,GPS 13 KD,13 KD A,Rajasthan,335707,,,,,,,
PALI,8200903002,2015-16,"G.G.U.P.S.,  ",BALI,"KARANWA,GUPS",BARWA,Rajasthan,306707,,,,,,,
PALI,8200903004,2015-16,"G.U.P.S.,  MATAJI DHANI ",BALI,"KARANWA,GUPS",BARWA,Rajasthan,306706,,,,,,,
PALI,8200611602,2015-16,"G.P.S., AMBAJI KA ODA",MARVAR JUNCTION,"DINGOR,UPS, DINGOR",DHAAL,Rajasthan,306023,,,,,,,
PALI,8200611802,2015-16,"G.P.S.,  KALA DATA KI DHANI",MARVAR JUNCTION,"DINGOR,UPS, DINGOR",PURANI FOOLAD,Rajasthan,306023,,,,,,,
AJMER,8210405016,2015-16,G.P.S. SANSKRIT GOVINDGARH,PEESANGAN,SAMARATHPURA GUPS 0415401,GOVINDGADH,Rajasthan,305201,,,,,,,
AJMER,8210405017,2015-16,FORWORD GENIOUS SCH. GOVINDGARH,PEESANGAN,SAMARATHPURA GUPS 0415401,GOVINDGADH,Rajasthan,305201,ChIJ8cpTm2fQazkRU0T2-nNN-dI,ChIJ8cpTm2fQazkRU0T2-nNN-dI,ChIJ8cpTm2fQazkRU0T2-nNN-dI,Forward Genius School,B,Pincode,305201
AJMER,8210405018,2015-16,GOLDEN PUBLIC SCHOOL GOVINDGARH,PEESANGAN,SAMARATHPURA GUPS 0415401,GOVINDGADH,Rajasthan,305201,ChIJPeJsoV3QazkR05zReVQtyxo,ChIJPeJsoV3QazkR05zReVQtyxo,,,,,
AJMER,8210405101,2015-16,G.SEC.S. ,PEESANGAN,SAMARATHPURA GUPS 0415401,JASWANTPURA,Rajasthan,305022,,,,,,,
RAJSAMAND,8250506906,2015-16,L.C. BAMBORI E.A. BADA BHANUA,KHAMNOR,"CHHOTA BHANUJA, GUPS ",BADA BHANUJA,Rajasthan,313322,,,,,,,
RAJSAMAND,8250402701,2015-16,"GOVT.PS, ",KUMBHALGARH,"DEVDO KI BHAGAL, G.U.P.S.",UPLAWAS,Rajasthan,313325,,,,,,,
RAJSAMAND,8250402801,2015-16,"GOVT.UPS, ",KUMBHALGARH,"DEVDO KI BHAGAL, G.U.P.S.",DEVRO KI BHAGAL,Rajasthan,313325,,,,,,,
RAJSAMAND,8250402901,2015-16,"SHIKSA KARMI PS, HLAIE KI BHAGAL",KUMBHALGARH,"DEVDO KI BHAGAL, G.U.P.S.",HALAIE KI BHAGAL,Rajasthan,313325,,,,,,,
PALI,8201712202,2015-16,TADKESAV RAMESVAR GIRLS SSEC.,PALI,"KHODIYA BALAJI, GUPS PALI",NP PALI_WARD NO. 15,Rajasthan,306401,,,,,,,
