City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,j1_place_id,h_category,h_word
VARANASI,9670516801,2015-16,UPS SRI RISHI NARAYAN SHASHTRI,ARAJILINES,JAKKHINI,JAMUNI PUR,Uttar Pradesh,221305,,,,,
VARANASI,9670517101,2015-16,PS TODAR PUR (I),ARAJILINES,PAYAGPUR,TODARPUR,Uttar Pradesh,221311,,,ChIJfXQtewLNjzkRAMWAziodYMQ,A,todarpur
VARANASI,9670901935,2015-16,A. O. MUSLIM INTER COLLEGE LALLAPURA,NAGAR NIGAM,BHELUPUR,BHELUPUR--42,Uttar Pradesh,221002,,,,,
VARANASI,9670906320,2015-16,NATIONAL INTER COLLEGE PILIKOTHI,NAGAR NIGAM,ADAMPUR,ADAMPUR,Uttar Pradesh,221001,ChIJ1aQd4j4ujjkR1BVgj9Ditrg,ChIJ1aQd4j4ujjkR1BVgj9Ditrg,,,
VARANASI,9670901936,2015-16,SANT SAI SHIKSHAN SANSHTHAN U.M.V. SHIVRAJNAGAR,NAGAR NIGAM,BHELUPUR,BHELUPUR--42,Uttar Pradesh,221005,,,,,
ALLAHABAD,9452002512,2015-16,SARSWATI GYAN MANDIR J.H.S.,HANDIA,ASHWO DAUD PUR,HANDIA,Uttar Pradesh,221502,,,,,
ALLAHABAD,9452002513,2015-16,MAHRSHI KRISHNA INTER COL.,HANDIA,ASHWO DAUD PUR,HANDIA,Uttar Pradesh,221503,,,ChIJLUjZaNdVhTkRQkwIt1og4D0,A,handia
ALLAHABAD,9452002514,2015-16,SITARAM SMARAK P S,HANDIA,BHELSHI,HANDIA,Uttar Pradesh,221502,,,ChIJ84XPGkD5jzkRsbsLsy_dj48,A,handia
ALLAHABAD,9452002515,2015-16,SARASWATI SHISHU MANDIR P S,HANDIA,BARAUT,HANDIA,Uttar Pradesh,221502,,,,,
ALLAHABAD,9451602103,2015-16,P.S. CHOUHARI,MANDA,CHACK DEEHA,CHACK DEEHA,Uttar Pradesh,212104,,,,,
ALLAHABAD,9451601004,2015-16,P.S. RAMPUR SIRIYA,MANDA,MAHUWARI KALA,MAHUARI  KALA,Uttar Pradesh,212104,,,,,
ALLAHABAD,9451600502,2015-16,U.P.S. BADPUR,MANDA,MAHEWA,BAD PUR,Uttar Pradesh,212104,,,,,
ALLAHABAD,9451602704,2015-16,U.P.S. UNCHADEEH,MANDA,HATA,UNCHDEEH,Uttar Pradesh,212103,,,,,
VARANASI,9670417604,2015-16,ANAR KALI BALIKA INTER COLLAGE SAKALPUR,SEWAPURI,NEWADA,PURASHIV,Uttar Pradesh,221403,,,,,
VARANASI,9670422105,2015-16,SRI SHOBH NATH MISHRA I.C. GORAI,SEWAPURI,DEYEEPUR,GORAIE,Uttar Pradesh,221307,,,,,
VARANASI,9670412102,2015-16,SHRI RPEM PRAKASH I.C. DEYEEPUR,SEWAPURI,DEYEEPUR,DEYEE PUR,Uttar Pradesh,221405,,,,,
VARANASI,9670404005,2015-16,SRI LALATA PRASAD SINGH ADARSH I.C. TENDUAI,SEWAPURI,HATHI,TENDUIE,Uttar Pradesh,221405,,,,,
VARANASI,9670800201,2015-16,PS ,PINDRA,PINDRA,ASAWAL PUR,Uttar Pradesh,221206,,,,,
VARANASI,9670800301,2015-16,PS ,PINDRA,PINDRA,AJAIEPUR,Uttar Pradesh,221206,,,,,
VARANASI,9670800401,2015-16,PS ,PINDRA,PINDRA,CHUPPEY PUR,Uttar Pradesh,221206,,,,,
VARANASI,9670800501,2015-16,PS ,PINDRA,PINDRA,PINDARAIE,Uttar Pradesh,221206,,,,,
VARANASI,9670800502,2015-16,UPS ,PINDRA,PINDRA,PINDARAIE,Uttar Pradesh,221206,,,,,
ALLAHABAD,9452007901,2015-16,P.S. JABARA DEEH,HANDIA,JAGUA SONDHA,JABRA DEEH,Uttar Pradesh,221503,,,,,
ALLAHABAD,9452008002,2015-16,RAM KISHOR YADAV U.P.S.,HANDIA,UPARDAHA,CHAKMADA,Uttar Pradesh,221503,,,,,
ALLAHABAD,9452008101,2015-16,P.S. ,HANDIA,BHITI,SIKARAHA,Uttar Pradesh,221502,,,,,
ALLAHABAD,9452008201,2015-16,P.S. ,HANDIA,JARAHI,VIJHOULI,Uttar Pradesh,221502,,,,,
